택배번호,출발지,출발시간,거리,통행량,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간
003P10021,대구 서구,3,43,1,대구 우편집중국,6,18,192,5,중부권 광역우편물류센터,31,55,248,1,동서울 우편집중국,72,84,82,1,서울 강남구,89
003P10022,강원 춘천시,3,108,1,원주 우편집중국,10,22,256,12,중부권 광역우편물류센터,39,63,268,11,고양 우편집중국,81,93,48,2,경기 파주시,96
003P10023,서울 관악구,3,56,1,성남 우편집중국,7,19,218,5,중부권 광역우편물류센터,34,58,368,1,강릉 우편집중국,83,95,97,1,강원 고성군,101
003P10024,대전 중구,3,57,1,대전 우편집중국,7,19,53,4,중부권 광역우편물류센터,23,47,290,1,영암 우편집중국,66,78,45,1,전남 목포시,81
003P10025,강원 영월군,3,62,2,원주 우편집중국,7,19,256,6,중부권 광역우편물류센터,36,60,256,7,원주 우편집중국,77,89,108,1,강원 춘천시,96
003P10026,전북 고창군,3,234,2,진주 우편집중국,19,31,202,25,중부권 광역우편물류센터,44,87,229,7,수원 우편집중국,102,114,77,3,경기 수원시 장안구,119
003P10027,경남 밀양시,3,74,2,부산 우편집중국,8,20,295,11,중부권 광역우편물류센터,40,87,261,9,의정부 우편집중국,104,116,38,3,경기 양주시,119
003P10028,전남 곡성군,3,92,2,광주 우편집중국,9,21,199,5,중부권 광역우편물류센터,34,58,216,6,안동 우편집중국,72,84,97,1,경북 상주시,90
003P10029,강원 원주시,3,30,1,원주 우편집중국,5,17,256,2,중부권 광역우편물류센터,34,58,256,6,원주 우편집중국,75,87,227,1,강원 태백시,102
003P10030,경기 구리시,3,53,1,의정부 우편집중국,7,19,261,7,중부권 광역우편물류센터,36,60,261,5,의정부 우편집중국,77,89,52,1,경기 포천시,92
003P10031,서울 양천구,3,36,3,부천 우편집중국,5,17,253,7,중부권 광역우편물류센터,34,58,202,10,진주 우편집중국,71,83,214,1,전북 전주시 완산구,97
003P10032,경북 청도군,3,79,2,대구 우편집중국,8,20,192,12,중부권 광역우편물류센터,33,57,218,7,성남 우편집중국,72,84,56,2,경기 안양시 동안구,88
003P10033,강원 삼척시,3,82,1,강릉 우편집중국,8,20,368,1,중부권 광역우편물류센터,45,87,133,11,천안 우편집중국,96,108,45,1,충남 아산시,111
003P10034,전북 전주시 덕진구,3,190,1,진주 우편집중국,16,28,202,19,중부권 광역우편물류센터,41,87,199,14,광주 우편집중국,100,112,82,1,전남 영광군,117
004P10001,경기 고양시 일산동구,4,30,1,고양 우편집중국,6,18,268,4,중부권 광역우편물류센터,36,60,53,5,대전 우편집중국,64,76,76,2,충남 공주시,81
004P10002,경북 군위군,4,84,1,대구 우편집중국,10,22,192,18,중부권 광역우편물류센터,35,59,218,10,성남 우편집중국,74,86,56,2,경기 안양시 만안구,90
004P10003,전북 순창군,4,169,2,진주 우편집중국,15,27,202,12,중부권 광역우편물류센터,40,87,368,10,강릉 우편집중국,112,124,82,4,강원 삼척시,129
004P10004,경북 영덕군,4,30,2,포항 우편집중국,6,18,271,4,중부권 광역우편물류센터,36,60,251,5,창원 우편집중국,77,89,136,1,경남 거제시,98
004P10005,부산 중구,4,70,3,부산 우편집중국,9,21,295,14,중부권 광역우편물류센터,41,87,290,5,영암 우편집중국,106,118,50,3,전남 강진군,121
004P10006,인천 옹진군,4,66,1,부천 우편집중국,8,20,253,16,중부권 광역우편물류센터,37,61,202,16,진주 우편집중국,74,86,82,1,경남 산청군,91
004P10007,전남 장성군,4,39,1,광주 우편집중국,7,19,199,2,중부권 광역우편물류센터,32,56,295,2,부산 우편집중국,76,88,70,2,부산 중구,93
004P10008,서울 강동구,4,54,1,동서울 우편집중국,8,20,248,6,중부권 광역우편물류센터,37,61,202,16,진주 우편집중국,74,86,270,2,전북 부안군,104
004P10009,전북 임실군,4,180,1,진주 우편집중국,16,28,202,19,중부권 광역우편물류센터,41,87,216,6,안동 우편집중국,101,113,97,2,경북 상주시,119
004P10010,전남 담양군,4,70,1,광주 우편집중국,9,21,199,5,중부권 광역우편물류센터,34,58,202,10,진주 우편집중국,71,83,133,1,전북 장수군,92
004P10011,대구 북구,4,30,1,대구 우편집중국,6,18,192,5,중부권 광역우편물류센터,31,55,218,5,성남 우편집중국,70,82,56,1,경기 안양시 동안구,86
004P10012,경남 거제시,4,136,1,창원 우편집중국,13,25,251,12,중부권 광역우편물류센터,42,87,53,5,대전 우편집중국,91,103,46,1,대전 유성구,106
004P10013,경북 포항시 남구,4,30,1,포항 우편집중국,6,18,271,4,중부권 광역우편물류센터,36,60,202,14,진주 우편집중국,73,85,244,1,전북 정읍시,101
004P10014,경남 함양군,4,101,1,진주 우편집중국,11,23,202,7,중부권 광역우편물류센터,36,60,271,3,포항 우편집중국,78,90,226,1,경북 경주시,105
004P10015,세종특별자치시,4,56,1,대전 우편집중국,8,20,53,5,중부권 광역우편물류센터,24,48,256,1,원주 우편집중국,65,77,98,1,충북 단양군,84
004P10016,경남 창원시 의창구,4,35,1,창원 우편집중국,6,18,251,5,중부권 광역우편물류센터,35,59,192,11,대구 우편집중국,72,84,76,1,경북 구미시,89
004P10017,부산 사하구,4,70,2,부산 우편집중국,9,21,295,14,중부권 광역우편물류센터,41,87,256,10,원주 우편집중국,104,116,124,3,강원 정선군,124
004P10018,경기 남양주시,4,40,1,동서울 우편집중국,7,19,248,3,중부권 광역우편물류센터,36,60,261,5,의정부 우편집중국,77,89,68,2,경기 의정부시,94
004P10019,경남 하동군,4,73,1,진주 우편집중국,9,21,202,5,중부권 광역우편물류센터,34,58,248,5,동서울 우편집중국,75,87,84,1,서울 종로구,93
004P10020,전남 강진군,4,50,1,영암 우편집중국,7,19,290,6,중부권 광역우편물류센터,38,62,256,9,원주 우편집중국,79,91,108,1,강원 화천군,98
004P10021,전북 고창군,4,234,3,진주 우편집중국,20,32,202,25,중부권 광역우편물류센터,45,87,256,10,원주 우편집중국,104,116,54,3,강원 횡성군,120
004P10022,경기 광주시,4,72,1,성남 우편집중국,9,21,218,12,중부권 광역우편물류센터,36,60,368,2,강릉 우편집중국,85,97,97,1,강원 속초시,103
004P10023,경기 김포시,4,36,1,고양 우편집중국,6,18,268,4,중부권 광역우편물류센터,36,60,268,5,고양 우편집중국,78,90,42,1,서울 서대문구,93
004P10024,경기 용인시 수지구,4,58,1,성남 우편집중국,8,20,218,9,중부권 광역우편물류센터,35,59,290,7,영암 우편집중국,78,90,63,2,전남 무안군,94
004P10025,경북 포항시 북구,4,30,1,포항 우편집중국,6,18,271,4,중부권 광역우편물류센터,36,60,216,7,안동 우편집중국,74,86,70,2,경북 의성군,91
004P10026,경남 함안군,4,49,1,창원 우편집중국,7,19,251,6,중부권 광역우편물류센터,36,60,100,6,청주 우편집중국,67,79,71,2,충북 진천군,84
004P10027,강원 횡성군,4,54,2,원주 우편집중국,8,20,256,8,중부권 광역우편물류센터,37,61,218,16,성남 우편집중국,76,88,56,2,서울 금천구,92
004P10028,대구 서구,4,43,2,대구 우편집중국,7,19,192,7,중부권 광역우편물류센터,32,56,100,1,청주 우편집중국,63,75,44,1,충북 청주시 흥덕구,78
