택배번호,출발지,출발시간,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간,거리,통행량
004P10021,전남 신안군,4,45,1,영암 우편집중국,7,19,290,1,중부권 광역우편물류센터,38,62,268,4,고양 우편집중국,80,92,42,1,서울 서대문구,0,0
004P10022,경남 밀양시,4,74,2,부산 우편집중국,9,21,295,10,중부권 광역우편물류센터,41,88,202,15,진주 우편집중국,101,113,200,2,전북 익산시,0,0
004P10023,강원 동해시,4,72,1,강릉 우편집중국,9,21,368,3,중부권 광역우편물류센터,46,88,295,20,부산 우편집중국,108,120,35,3,부산 남구,0,0
004P10024,경기 안성시,4,114,1,수원 우편집중국,12,24,229,8,중부권 광역우편물류센터,39,63,248,11,동서울 우편집중국,80,92,84,1,서울 용산구,0,0
004P10025,경기 수원시 영통구,4,30,1,수원 우편집중국,6,18,229,1,중부권 광역우편물류센터,33,57,218,4,성남 우편집중국,72,84,56,1,서울 관악구,0,0
004P10026,강원 양구군,4,108,1,원주 우편집중국,11,23,256,8,중부권 광역우편물류센터,40,64,248,12,동서울 우편집중국,81,93,84,1,서울 동대문구,0,0
004P10027,경남 창원시 마산합포구,4,30,1,창원 우편집중국,6,18,251,3,중부권 광역우편물류센터,35,59,233,2,순천 집중과,75,87,47,1,전남 광양시,0,0
004P10028,대구 서구,4,43,1,대구 우편집중국,7,19,192,6,중부권 광역우편물류센터,32,56,53,2,대전 우편집중국,60,72,57,1,대전 중구,0,0
004P10029,부산 부산진구,4,70,2,부산 우편집중국,9,21,295,10,중부권 광역우편물류센터,41,88,218,15,성남 우편집중국,103,115,56,4,서울 관악구,0,0
004P10030,강원 원주시,4,30,1,원주 우편집중국,6,18,256,4,중부권 광역우편물류센터,35,59,53,6,대전 우편집중국,63,75,57,1,대전 동구,0,0
005P10001,경기 성남시 수정구,5,43,2,성남 우편집중국,8,20,218,8,중부권 광역우편물류센터,35,59,192,7,대구 우편집중국,72,84,43,1,대구 남구,0,0
005P10002,울산 울주군,5,35,2,울산 우편집중국,7,19,318,5,중부권 광역우편물류센터,40,64,202,19,진주 우편집중국,77,89,284,3,전북 김제시,0,0
005P10003,인천 서구,5,47,1,부천 우편집중국,8,20,253,11,중부권 광역우편물류센터,37,61,229,3,수원 우편집중국,76,88,110,1,경기 화성시,0,0
005P10004,충남 계룡시,5,30,1,대전 우편집중국,7,19,53,1,중부권 광역우편물류센터,23,47,256,2,원주 우편집중국,64,76,150,1,강원 인제군,0,0
005P10005,충북 증평군,5,58,1,청주 우편집중국,9,21,100,5,중부권 광역우편물류센터,28,52,248,2,동서울 우편집중국,69,81,144,1,경기 양평군,0,0
005P10006,경북 칠곡군,5,55,2,대구 우편집중국,9,21,192,8,중부권 광역우편물류센터,34,58,256,6,원주 우편집중국,75,87,54,1,강원 횡성군,0,0
005P10007,경남 창원시 마산회원구,5,30,1,창원 우편집중국,7,19,251,4,중부권 광역우편물류센터,36,60,100,4,청주 우편집중국,67,79,142,1,충북 괴산군,0,0
005P10008,경기 성남시 수정구,5,43,2,성남 우편집중국,8,20,218,8,중부권 광역우편물류센터,35,59,133,6,천안 우편집중국,68,80,128,1,충남 서산시,0,0
005P10009,부산 기장군,5,65,1,울산 우편집중국,9,21,318,8,중부권 광역우편물류센터,42,88,295,20,부산 우편집중국,108,120,70,1,부산 영도구,0,0
005P10010,충북 제천시,5,62,1,원주 우편집중국,9,21,256,6,중부권 광역우편물류센터,38,62,290,8,영암 우편집중국,81,93,50,2,전남 완도군,0,0
005P10011,전남 함평군,5,108,1,광주 우편집중국,12,24,199,4,중부권 광역우편물류센터,37,61,295,13,부산 우편집중국,81,93,35,1,부산 북구,0,0
005P10012,경기 의왕시,5,66,1,성남 우편집중국,9,21,218,12,중부권 광역우편물류센터,36,60,218,13,성남 우편집중국,75,87,48,1,경기 과천시,0,0
005P10013,전북 전주시 완산구,5,214,1,진주 우편집중국,19,31,202,21,중부권 광역우편물류센터,44,88,202,15,진주 우편집중국,101,113,234,2,전북 고창군,0,0
005P10014,전북 순창군,5,169,1,진주 우편집중국,16,28,202,14,중부권 광역우편물류센터,41,88,261,5,의정부 우편집중국,105,117,64,3,서울 강북구,0,0
005P10015,경기 오산시,5,86,2,수원 우편집중국,11,23,229,6,중부권 광역우편물류센터,38,62,100,5,청주 우편집중국,69,81,71,2,충북 진천군,0,0
005P10016,전북 익산시,5,200,2,진주 우편집중국,18,30,202,17,중부권 광역우편물류센터,43,88,251,7,창원 우편집중국,105,117,136,1,경남 통영시,0,0
005P10017,경기 군포시,5,56,1,성남 우편집중국,9,21,218,12,중부권 광역우편물류센터,36,60,261,8,의정부 우편집중국,77,89,64,2,서울 노원구,0,0
005P10018,경기 가평군,5,213,1,동서울 우편집중국,19,31,248,16,중부권 광역우편물류센터,48,112,192,2,대구 우편집중국,125,137,80,2,경북 고령군,0,0
005P10019,충북 단양군,5,98,2,원주 우편집중국,12,24,256,10,중부권 광역우편물류센터,41,88,202,15,진주 우편집중국,101,113,244,3,전북 정읍시,0,0
005P10020,경기 남양주시,5,40,1,동서울 우편집중국,8,20,248,3,중부권 광역우편물류센터,37,61,229,3,수원 우편집중국,76,88,30,1,경기 수원시 영통구,0,0
005P10021,강원 정선군,5,124,1,원주 우편집중국,13,25,256,12,중부권 광역우편물류센터,42,88,229,4,수원 우편집중국,103,115,77,1,경기 수원시 권선구,0,0
005P10022,경북 청도군,5,79,1,대구 우편집중국,10,22,192,11,중부권 광역우편물류센터,35,59,218,8,성남 우편집중국,74,86,56,1,서울 금천구,0,0
005P10023,서울 강동구,5,54,1,동서울 우편집중국,9,21,248,5,중부권 광역우편물류센터,38,62,202,13,진주 우편집중국,75,87,234,1,전북 고창군,0,0
005P10024,경남 거제시,5,136,1,창원 우편집중국,14,26,251,9,중부권 광역우편물류센터,43,88,248,11,동서울 우편집중국,105,117,84,2,서울 동대문구,0,0
005P10025,울산 울주군,5,35,2,울산 우편집중국,7,19,318,5,중부권 광역우편물류센터,40,64,202,19,진주 우편집중국,77,89,53,1,경남 의령군,0,0
005P10026,전남 광양시,5,47,1,순천 집중과,8,20,233,3,중부권 광역우편물류센터,36,60,248,7,동서울 우편집중국,77,89,144,2,경기 양평군,0,0
006P10001,충남 당진시,6,109,2,천안 우편집중국,13,25,133,6,중부권 광역우편물류센터,34,58,218,7,성남 우편집중국,73,85,72,1,경기 광주시,0,0
006P10002,서울 서대문구,6,42,1,고양 우편집중국,9,21,268,6,중부권 광역우편물류센터,39,63,290,11,영암 우편집중국,82,94,30,2,전남 진도군,0,0
006P10003,전북 정읍시,6,244,2,진주 우편집중국,22,34,202,24,중부권 광역우편물류센터,47,88,218,15,성남 우편집중국,103,115,58,2,경기 용인시 수지구,0,0
006P10004,전남 장성군,6,39,1,광주 우편집중국,9,21,199,1,중부권 광역우편물류센터,34,58,253,8,부천 우편집중국,75,87,68,3,경기 안산시 단원구,0,0
006P10005,전남 영암군,6,50,1,영암 우편집중국,9,21,290,4,중부권 광역우편물류센터,40,64,268,7,고양 우편집중국,82,94,42,3,서울 서대문구,0,0
006P10006,인천 동구,6,74,1,부천 우편집중국,11,23,253,13,중부권 광역우편물류센터,40,64,100,9,청주 우편집중국,71,83,44,1,충북 충주시,0,0
006P10007,경남 거창군,6,124,1,진주 우편집중국,14,26,202,9,중부권 광역우편물류센터,39,63,216,4,안동 우편집중국,77,89,30,1,경북 안동시,0,0
006P10008,충남 당진시,6,109,2,천안 우편집중국,13,25,133,6,중부권 광역우편물류센터,34,58,268,1,고양 우편집중국,76,88,39,1,서울 은평구,0,0
006P10009,전북 임실군,6,180,1,진주 우편집중국,18,30,202,17,중부권 광역우편물류센터,43,88,253,14,부천 우편집중국,105,117,61,2,인천 미추홀구,0,0
