025P10017,광주 남구,중부권 광역우편물류센터,287,11,중부권 광역우편물류센터,경기 안산시 단원구,228,35
025P10019,강원 화천군,중부권 광역우편물류센터,317,13,중부권 광역우편물류센터,경북 경산시,216,28
025P10021,부산 부산진구,중부권 광역우편물류센터,308,9,중부권 광역우편물류센터,강원 원주시,256,33
025P10022,강원 정선군,중부권 광역우편물류센터,327,11,중부권 광역우편물류센터,인천 중구,244,31
025P10024,강원 태백시,중부권 광역우편물류센터,430,27,중부권 광역우편물류센터,강원 속초시,415,1
025P10029,서울 강서구,중부권 광역우편물류센터,258,13,중부권 광역우편물류센터,서울 동작구,226,41
025P10032,서울 양천구,중부권 광역우편물류센터,258,15,중부권 광역우편물류센터,경남 남해군,227,26
025P10033,경남 양산시,중부권 광역우편물류센터,300,14,중부권 광역우편물류센터,인천 부평구,255,35
025P10034,서울 서대문구,중부권 광역우편물류센터,279,16,중부권 광역우편물류센터,경기 동두천시,276,30
025P10041,부산 금정구,중부권 광역우편물류센터,315,16,중부권 광역우편물류센터,서울 은평구,273,32
025P10046,인천 부평구,중부권 광역우편물류센터,255,18,중부권 광역우편물류센터,전남 진도군,290,21
025P10050,인천 강화군,중부권 광역우편물류센터,274,15,중부권 광역우편물류센터,전남 영광군,219,32
025P10056,울산 울주군,중부권 광역우편물류센터,320,14,중부권 광역우편물류센터,강원 화천군,317,30
025P10063,경기 김포시,중부권 광역우편물류센터,262,12,중부권 광역우편물류센터,대구 달성군,195,27
025P10064,강원 고성군,중부권 광역우편물류센터,415,14,중부권 광역우편물류센터,전남 신안군,276,1
025P10067,부산 남구,중부권 광역우편물류센터,300,19,중부권 광역우편물류센터,경기 안양시 만안구,228,22
025P10068,경기 의정부시,중부권 광역우편물류센터,257,11,중부권 광역우편물류센터,경기 안양시 동안구,228,27
025P10071,경북 포항시 북구,중부권 광역우편물류센터,271,15,중부권 광역우편물류센터,경기 남양주시,238,22
025P10075,부산 영도구,중부권 광역우편물류센터,308,15,중부권 광역우편물류센터,경기 이천시,193,24
025P10082,경남 양산시,중부권 광역우편물류센터,300,14,중부권 광역우편물류센터,경기 고양시 일산동구,268,39
025P10087,경기 김포시,중부권 광역우편물류센터,262,12,중부권 광역우편물류센터,인천 연수구,248,25
025P10090,부산 서구,중부권 광역우편물류센터,308,20,중부권 광역우편물류센터,부산 금정구,315,28
025P10094,부산 해운대구,중부권 광역우편물류센터,360,10,중부권 광역우편물류센터,대구 달서구,189,32
025P10096,전남 신안군,중부권 광역우편물류센터,276,14,중부권 광역우편물류센터,부산 동구,300,39
025P10097,전남 강진군,중부권 광역우편물류센터,310,18,중부권 광역우편물류센터,부산 기장군,350,36
025P10102,경기 고양시 덕양구,중부권 광역우편물류센터,268,15,중부권 광역우편물류센터,서울 마포구,279,26
025P10106,강원 동해시,중부권 광역우편물류센터,410,21,중부권 광역우편물류센터,전남 나주시,276,1
025P10108,전남 강진군,중부권 광역우편물류센터,310,18,중부권 광역우편물류센터,충북 괴산군,211,30
025P10111,강원 속초시,중부권 광역우편물류센터,415,22,중부권 광역우편물류센터,경북 경산시,216,1
025P10112,경북 영덕군,중부권 광역우편물류센터,271,12,중부권 광역우편물류센터,경기 고양시 일산동구,268,39
025P10119,부산 동구,중부권 광역우편물류센터,300,9,중부권 광역우편물류센터,경기 양주시,269,27
025P10127,강원 화천군,중부권 광역우편물류센터,317,13,중부권 광역우편물류센터,경기 동두천시,276,30
025P10132,부산 사상구,중부권 광역우편물류센터,308,15,중부권 광역우편물류센터,경북 문경시,187,39
025P10134,경기 김포시,중부권 광역우편물류센터,262,12,중부권 광역우편물류센터,울산 남구,318,39
025P10135,부산 남구,중부권 광역우편물류센터,300,19,중부권 광역우편물류센터,경기 동두천시,276,30
025P10140,강원 태백시,중부권 광역우편물류센터,430,27,중부권 광역우편물류센터,서울 도봉구,253,1
025P10144,강원 인제군,중부권 광역우편물류센터,359,17,중부권 광역우편물류센터,경기 군포시,228,21
025P10145,전남 나주시,중부권 광역우편물류센터,276,16,중부권 광역우편물류센터,경기 오산시,173,38
025P10151,강원 태백시,중부권 광역우편물류센터,430,27,중부권 광역우편물류센터,광주 동구,215,1
025P10154,전남 신안군,중부권 광역우편물류센터,276,14,중부권 광역우편물류센터,전남 영암군,310,28
025P10157,부산 북구,중부권 광역우편물류센터,300,21,중부권 광역우편물류센터,울산 울주군,320,36
025P10159,강원 삼척시,중부권 광역우편물류센터,420,22,중부권 광역우편물류센터,경기 시흥시,230,1
025P10160,울산 동구,중부권 광역우편물류센터,318,20,중부권 광역우편물류센터,강원 영월군,231,32
025P10161,경남 창원시 의창구,중부권 광역우편물류센터,256,14,중부권 광역우편물류센터,강원 춘천시,317,31
025P10163,부산 영도구,중부권 광역우편물류센터,308,15,중부권 광역우편물류센터,경기 이천시,193,24
025P10169,부산 영도구,중부권 광역우편물류센터,308,15,중부권 광역우편물류센터,경남 창원시 마산회원구,251,38
025P10174,강원 동해시,중부권 광역우편물류센터,410,21,중부권 광역우편물류센터,전남 장흥군,310,1
025P10175,강원 동해시,중부권 광역우편물류센터,410,21,중부권 광역우편물류센터,전남 목포시,276,1
025P10177,경남 창원시 성산구,중부권 광역우편물류센터,290,14,중부권 광역우편물류센터,경북 포항시 북구,271,36
025P10183,부산 기장군,중부권 광역우편물류센터,350,15,중부권 광역우편물류센터,경북 영양군,234,31
025P10185,울산 동구,중부권 광역우편물류센터,318,20,중부권 광역우편물류센터,전남 화순군,215,39
025P10187,경기 연천군,중부권 광역우편물류센터,286,12,중부권 광역우편물류센터,전남 고흥군,261,26
025P10189,강원 철원군,중부권 광역우편물류센터,286,20,중부권 광역우편물류센터,부산 금정구,315,28
025P10192,인천 부평구,중부권 광역우편물류센터,255,18,중부권 광역우편물류센터,경남 합천군,192,34
026P10001,경남 창원시 마산합포구,중부권 광역우편물류센터,251,8,중부권 광역우편물류센터,경기 오산시,173,38
026P10005,강원 춘천시,중부권 광역우편물류센터,317,15,중부권 광역우편물류센터,경남 밀양시,263,35
026P10008,강원 속초시,중부권 광역우편물류센터,415,22,중부권 광역우편물류센터,경기 의정부시,257,1
026P10012,전남 완도군,중부권 광역우편물류센터,310,17,중부권 광역우편물류센터,부산 중구,308,35
026P10013,경남 창원시 진해구,중부권 광역우편물류센터,295,10,중부권 광역우편물류센터,서울 양천구,258,28
026P10014,서울 광진구,중부권 광역우편물류센터,248,9,중부권 광역우편물류센터,인천 남동구,240,29
026P10015,부산 수영구,중부권 광역우편물류센터,315,16,중부권 광역우편물류센터,강원 홍천군,290,33
026P10016,경북 봉화군,중부권 광역우편물류센터,242,6,중부권 광역우편물류센터,전북 순창군,193,33
026P10019,강원 횡성군,중부권 광역우편물류센터,264,11,중부권 광역우편물류센터,경기 양평군,236,29
026P10020,강원 횡성군,중부권 광역우편물류센터,264,11,중부권 광역우편물류센터,경기 포천시,283,30
026P10021,강원 양구군,중부권 광역우편물류센터,317,5,중부권 광역우편물류센터,경기 여주시,210,32
026P10022,부산 남구,중부권 광역우편물류센터,300,16,중부권 광역우편물류센터,서울 종로구,226,40
026P10035,경기 고양시 덕양구,중부권 광역우편물류센터,268,17,중부권 광역우편물류센터,경기 수원시 팔달구,202,33
026P10037,강원 양양군,중부권 광역우편물류센터,397,25,중부권 광역우편물류센터,경기 부천시,247,1
026P10039,경남 밀양시,중부권 광역우편물류센터,263,13,중부권 광역우편물류센터,서울 강북구,253,31
026P10040,서울 강서구,중부권 광역우편물류센터,258,14,중부권 광역우편물류센터,전북 김제시,184,33
026P10042,인천 강화군,중부권 광역우편물류센터,274,16,중부권 광역우편물류센터,경기 하남시,228,29
026P10045,전남 고흥군,중부권 광역우편물류센터,261,14,중부권 광역우편물류센터,경남 합천군,192,34
026P10047,전남 고흥군,중부권 광역우편물류센터,261,14,중부권 광역우편물류센터,인천 강화군,274,25
026P10048,인천 중구,중부권 광역우편물류센터,244,7,중부권 광역우편물류센터,경남 합천군,192,34
026P10050,강원 횡성군,중부권 광역우편물류센터,264,11,중부권 광역우편물류센터,서울 구로구,258,28
026P10054,서울 은평구,중부권 광역우편물류센터,273,8,중부권 광역우편물류센터,전남 함평군,244,22
026P10055,전남 나주시,중부권 광역우편물류센터,276,16,중부권 광역우편물류센터,서울 용산구,226,49
026P10059,인천 계양구,중부권 광역우편물류센터,255,10,중부권 광역우편물류센터,경남 창원시 의창구,256,27
026P10061,경기 연천군,중부권 광역우편물류센터,286,12,중부권 광역우편물류센터,강원 삼척시,420,27
026P10062,인천 연수구,중부권 광역우편물류센터,248,10,중부권 광역우편물류센터,경기 양주시,269,27
026P10066,부산 기장군,중부권 광역우편물류센터,350,17,중부권 광역우편물류센터,인천 부평구,255,35
026P10069,경북 영양군,중부권 광역우편물류센터,234,14,중부권 광역우편물류센터,경기 수원시 장안구,210,28
026P10071,울산 중구,중부권 광역우편물류센터,318,20,중부권 광역우편물류센터,인천 미추홀구,240,28
026P10077,강원 춘천시,중부권 광역우편물류센터,317,15,중부권 광역우편물류센터,경남 창녕군,216,36
026P10080,강원 강릉시,중부권 광역우편물류센터,368,17,중부권 광역우편물류센터,경기 가평군,333,26
026P10088,전남 완도군,중부권 광역우편물류센터,310,17,중부권 광역우편물류센터,강원 양양군,397,29
026P10090,전남 완도군,중부권 광역우편물류센터,310,17,중부권 광역우편물류센터,경북 영덕군,271,32
026P10092,전남 무안군,중부권 광역우편물류센터,257,17,중부권 광역우편물류센터,부산 사상구,308,25
026P10093,경남 창원시 마산회원구,중부권 광역우편물류센터,251,12,중부권 광역우편물류센터,강원 양양군,397,29
026P10094,부산 해운대구,중부권 광역우편물류센터,360,12,중부권 광역우편물류센터,서울 구로구,258,28
026P10095,경기 안양시 동안구,중부권 광역우편물류센터,228,14,중부권 광역우편물류센터,강원 속초시,415,28
026P10096,경기 구리시,중부권 광역우편물류센터,238,13,중부권 광역우편물류센터,경기 성남시 분당구,209,41
026P10097,경북 봉화군,중부권 광역우편물류센터,242,6,중부권 광역우편물류센터,서울 양천구,258,28
026P10101,강원 강릉시,중부권 광역우편물류센터,368,17,중부권 광역우편물류센터,경기 의왕시,210,32
026P10102,서울 성북구,중부권 광역우편물류센터,242,10,중부권 광역우편물류센터,부산 북구,300,36
026P10104,경기 포천시,중부권 광역우편물류센터,283,8,중부권 광역우편물류센터,강원 고성군,415,23
026P10105,강원 원주시,중부권 광역우편물류센터,256,17,중부권 광역우편물류센터,서울 강북구,253,31
026P10107,서울 은평구,중부권 광역우편물류센터,273,8,중부권 광역우편물류센터,부산 서구,308,40
